Objective Value: -0.291915
Variable Values:
CYTDK2: 0
XPPT: 0
HXPRT: 0
NDPK5: 0
SHK3Dr: 0
NDPK6: 0
NDPK8: 0
DHORTS: 0
OMPDC: 0
PYNP2r: 0
G5SD: 0
CS: 0.58383
ICDHyr: 0.58383
ALATA_L2: 0
DURIPP: 0
ACALD: 1.47793e-11
PTRCTA: 0
ACS: 0
CYSDS: 0
MAN6PI: 0
PPA: -3.1458e-12
APRAUR: 0
TRPAS2: 0
PPCK: 0
ME1: 0
DB4PS: 0
ALAR: 0
RBFK: 0
ALATA_L: 1000
XYLK: 0
RBK: 0
GLYK: 0
PPM: -9.09495e-13
ASPTA: -2.27374e-13
ACP1_FMN: 0
RBFSb: 0
NDP3: 0
CDPPH: 0
NDP7: 0
FBP: 0
EX_pi_e: -1.7053e-12
GLGC: 0
ALATA_D2: 0
PYK: 1.30125e-11
SHCHD2: 0
EX_co2_e: 1.75149
A5PISO: -2.95586e-12
PMDPHT: 0
CPPPGO: 0
EX_met_L_e: 0
GTHOr: 0
ILETA: 0
DHORD5: 0
EX_metsox_S_L_e: 0
GLYCTO2: 0
VALTA: -1000
GLYCTO3: 0
IPPMIb: 0
GLYCTO4: 0
ORPT: 0
RBFSa: 0
ACHBS: 0
PFK_3: 0
DHAD2: 0
ACLS: 0
TRPS2: 0
PSCVT: 0
G3PD5: 0
G1PP: 0
PFL: 0
EX_acgam_e: 0
ANS: 0
FRD2: 0
FRD3: 2.91915
ANPRT: 0
POX: 0
CHORM: 0
PTAr: 1.13687e-13
CHORS: 0
IGPS: 0
ACKr: -1.13687e-13
EX_cellb_e: 0
EX_crn_e: 0
EX_hxan_e: 0
EX_ile_L_e: 0
EX_chol_e: 0
EX_fe3_e: 1000
LEUTAi: 0
EX_lac_L_e: 0
EX_leu_L_e: 0
EX_glcn_e: 0
EX_no3_e: 0
EX_h_e: -1000
DMATT: 0
EX_orn_e: 0
GRTT: 0
EX_gln_L_e: 0
UPP3S: 0
EX_pro_L_e: 0
EX_glyc_e: 0
UPPDC1: 0
EX_man_e: 0
TMDPP: 0
EX_ade_e: 0
EX_mn2_e: 0
EX_4abut_e: 0
EX_ac_e: 0
EX_akg_e: 0
EX_ala_L_e: 0
EX_arg_L_e: 0
EX_asp_L_e: 0
EX_pyr_e: 0
EX_succ_e: 0
EX_thymd_e: 0
EX_rib_D_e: 0
EX_tyr_L_e: 0
EX_cytd_e: 0
EX_dcyt_e: 0
MOAT: 0
EX_fum_e: 0
EX_sbt_D_e: 0
EX_glu_L_e: 0
UDCPDPS: 0
ECOAH6: 4.54747e-13
USHD: 0
EX_gua_e: 0
ENO: 0.58383
FBA: 0
HCO3E: 0
MGSA: 0
IMPC: 0
IMPD: -6.84698e-13
PPS: 0
ECOAH4: 3.41061e-13
LPADSS: 0
GLUTRS: 0
TDSK: 0
PGI: 0.291915
TMPPP: 0
EX_btn_e: 0
PGK: -0.58383
EX_ptrc_e: 0
EDA: 0
EX_spmd_e: 0
EX_thym_e: 0
EX_xtsn_e: 0
NTPP1: 0
URIK1: 0
URIK2: 0
NTPP2: 0
PGL: 0
NTPTP1: 0
NTPTP2: 0
CYTDK1: 0
RPE: 1.59162e-12
DHQTi: 0
IPMD: 0
AIRC3: 0
TALA: 7.95808e-13
PUNP1: 0
PUNP2: 0
PUNP3: 0
ADSL2r: 0
TKT1: 7.95808e-13
EX_fe2_e: -1000
PUNP5: 0
PUNP6: 0
PUNP7: -6.82121e-13
G6PDA: 0
RNDR1: 0
ALCD2x: 7.27596e-12
RNDR3: 0
RNDR4: 0
ALDD2y: 0
TMDS: 0
RMI: 0
TMDK1: 0
LYSAM: 0
PPCDC: 0
FTHFD: 0
EX_glc_D_e: -0.291915
DHAD1: 0
IPPMIa: 0
EX_alltn_e: 0
G3PD7: 0
EDD: 0
EX_ura_e: 0
NADH9: 0
