	rxnNames	abbreviation	equation	lowbnd	uppbnd	obj_coef
1	S-Propane-1,2-diol facilitated transport	12PPDt	12ppd_S[e] <==> 12ppd_S[c]	-1000	1000	0
2	(R)-2,3-Dihydroxy-3-methylpentanoate:NADP+ oxidoreductase	23DHMPO	[c] : 23dhmp + nadp <==> 3h3mop + h + nadph	-1000	1000	0
3	2,3-Cyclic UMP 3-nucleotidohydrolase	23PDE2	[c] : h2o + 23cump --> h + 3ump	0	1000	0
4	2,3-Cyclic CMP 3-nucleotidohydrolase	23PDE4	[c] : h2o + 23ccmp --> h + 3cmp	0	1000	0
5	2,3-Cyclic AMP 3-nucleotidohydrolase	23PDE7	[c] : h2o + 23camp --> h + 3amp	0	1000	0
6	2,3-Cyclic GMP 3-nucleotidohydrolase	23PDE9	[c] : h2o + 23cgmp --> h + 3gmp	0	1000	0
7	(S)-2-Aceto-2-hydroxybutanoate isomerase	2AHBUTI	[c] : 2ahbut <==> 3h3mop	-1000	1000	0
8	2-dehydro-3-deoxyglucarate aldolase (EC 4.1.2.20)	2DH3DGLCA	[c] : pyr + 2h3oppan <==> 2dh3dglc	-1000	1000	0
9	2-methylbutanoyl-CoA[acyl-carrier-protein] transferase	2MBCOATA	[c] : 2mbcoa + ACP <==> coa + 2mbutACP	-1000	1000	0
10	oxidoreductase	2OMMBOX	[c] : nadph + o2 + 2ommb --> nadp + h2o + ocmhmxbq	0	1000	0
11	2-octaprenyl-6-methoxyphenol hydroxylase	2OMPHH	[c] : o2 + 2omph --> h2o + 2ombz	0	1000	0
12	3-Carboxy-1-hydroxypropyl-ThPP:lipoamide	3CARLPDH	[c] : lpam + HC01435 <==> thmpp + HC00695	-1000	1000	0
13	3-Dehydro-L-gulonate:NAD+ 2-oxidoreductase	3DGUR	[c] : nadp + 3dhguln <==> h + nadph + 23doguln	-1000	1000	0
14	3-hydroxyacyl-ACP-dehydratase (FabZ)	3HACPR1	[c] : 3hgACPm --> h2o + egACPm	0	1000	0
15	3-hydroxyacyl-ACP-dehydratase (FabZ)	3HACPR2	[c] : 3hpACPm --> h2o + epACPm	0	1000	0
16	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C10:0)	3HAD100	[c] : 3hdecACP --> h2o + tdec2eACP	0	1000	0
17	10-methyl-3-hydroxy-undecanoyl-ACP hydro-lyase	3HAD10M11	[c] : 10m3hundecACP --> h2o + 10mtundec2eACP	0	1000	0
18	10-methyl-3-hydroxy-dodecanoyl-ACP hydro-lyase	3HAD10M12	[c] : 10m3hddcaACP --> h2o + 10mtddec2eACP	0	1000	0
19	11-methyl-3-hydroxy-dodecanoyl-ACP hydro-lyase	3HAD11M12	[c] : 11m3hddcaACP --> h2o + 11mtddec2eACP	0	1000	0
20	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:0)	3HAD120	[c] : 3hddecACP --> h2o + tddec2eACP	0	1000	0
21	12-methyl-3-hydroxy-tridecanoyl-ACP hydro-lyase	3HAD12M13	[c] : 12m3htridecACP --> h2o + 12mttritec2eACP	0	1000	0
22	12-methyl-3-hydroxy-tetra-decanoyl-ACP hydro-lyase	3HAD12M14	[c] : 12m3hmyrsACP --> h2o + 12mtmrs2eACP	0	1000	0
23	13-methyl-3-hydroxy-tetra-decanoyl-ACP hydro-lyase	3HAD13M14	[c] : 13m3hmyrsACP --> h2o + 13mtmrs2eACP	0	1000	0
24	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:0)	3HAD140	[c] : 3hmrsACP --> h2o + tmrs2eACP	0	1000	0
