"Platform_ORF","GSM37063","GSM37064","GSM37065","GSM37066","GSM37067","GSM37068","GSM37069","GSM37070","GSM37071","GSM37072","GSM37073","GSM37074","GSM37075","GSM37076"
"b2836",9.50362700598347,9.30583375751525,9.53352441485668,9.50957709019796,9.41616416473313,9.43128865429159,9.30606168942834,9.36106648879432,9.97096866052181,9.45573818599339,9.13519623665344,9.72468437437077,9.2599785944214,9.87851078471061
"b0199",11.413363481211,11.4882418427773,11.5709941287432,11.018617484425,11.3303006888781,11.2681910792198,11.1915527810917,11.2796686126706,10.956303548727,11.5027323730015,10.979353737641,10.5291376905174,10.5851503394091,10.9389914387755
"b0185",12.017260799616,11.3413520280499,11.4331159412144,11.8774758665344,11.5485811181651,11.2134687974245,11.7116239587597,11.7152327389218,11.5438534969344,11.6587916580193,11.3551308208246,11.2164427391605,11.0849412265357,10.7982287663074
"b3255",12.790633586179,12.7048978945646,12.6615331750473,12.5808003009484,12.9715255919983,12.520250348558,12.3301886261904,12.8758069352246,12.3000092930765,12.3637788631212,12.3958821824801,12.2877989386552,12.2505056867869,12.0869323411374
"b3256",11.5285517848477,11.5755392468345,11.6339034093485,11.503925093737,11.4984004755448,10.8521393281872,11.211888294546,11.3137333502638,11.4937553975718,11.0830803703193,11.0175739939818,10.6695937511883,10.8191412532642,10.8054214461718
"b2316",12.2409403632081,12.3130814256196,12.0932855038779,12.0559941160422,11.9487687355644,12.2192592912039,12.4058062689363,12.2103669456326,12.2401354126049,12.3658849676776,12.0689461796488,12.0203549596945,11.8381796782152,11.8575534089937
"b4015",11.9604002115614,12.0950013483262,11.5508910476743,11.9755972296032,12.3129113098611,13.7963641381396,13.5814124504299,13.6413292617457,13.3584589019906,14.1521025922964,13.8560169406234,14.8230985011238,14.4599310448477,14.6866646594242
"b4014",12.3398221728508,12.6659354349373,12.0276641452339,12.4518292772524,13.073522362907,13.6604973602488,13.4459976962902,13.550205673278,12.9486592455601,14.061438701377,13.7227755183504,14.7858355693002,14.3210331773906,14.4779226595627
"b0114",13.0973079210685,12.8495223884598,12.8084815875119,12.8335621661068,13.4825180779735,12.7827320800126,12.7401602164169,13.7214944227491,13.3323163301992,13.470519071256,13.3728514599821,12.4722085065863,12.529528162146,12.6260512142343
"b0115",12.5562186365933,12.3663768607503,12.3058622509738,12.4180106964595,12.7117745049653,12.2409105582304,12.448297018237,13.1619349066948,12.6701250979653,13.0205980393376,12.8356754266151,12.0448380623047,11.9056502465189,12.0248280061984
"b2296",11.8394400179434,11.8888573816495,11.8777059125178,11.7027787324406,12.0410088341738,12.1955567621275,11.9953785176009,12.2693312607796,12.1430004854982,12.5015884229324,12.3139883710418,12.0621136148628,11.9246640705545,12.0745094502665
"b1276",9.5808238499628,9.31763872379447,9.49705344454508,9.34451784392747,9.89829906237331,9.47045552004783,9.70286528981519,9.99844939694392,9.65553072315564,10.2230363379019,10.1670417415053,10.7831619561586,10.3723209548673,10.3739526553702
"b0118",12.3245462380898,11.6585685412961,11.7675637662868,12.1606908170849,11.624978179569,11.959784642356,12.3154043328398,12.4582784363415,13.0386961223222,12.7412141555378,12.6515899098164,12.8119566317215,12.4527045584375,12.8012233378862
"b1094",15.6666123684212,15.0364870211814,15.2841264362144,15.2607321298681,15.4514139765589,14.4199865041595,14.3486175138659,14.2226968083433,14.6141346756505,14.1684370813334,14.1692047264902,14.0896739193316,13.9135813346165,13.9142449671498
