"abbreviation"	"equation"	"lowbnd"	"uppbnd"	"obj_coef"
"CYTDK2"	"cytd_c + gtp_c --> h_c + gdp_c + cmp_c"	0	1000	0
"XPPT"	"xan_c + prpp_c --> ppi_c + xmp_c"	0	1000	0
"HXPRT"	"prpp_c + hxan_c --> imp_c + ppi_c"	0	1000	0
"NDPK5"	"dgdp_c + atp_c <==> adp_c + dgtp_c"	-1000	1000	0
"SHK3Dr"	"h_c + 3dhsk_c + nadph_c <==> skm_c + nadp_c"	-1000	1000	0
"NDPK6"	"dudp_c + atp_c <==> dutp_c + adp_c"	-1000	1000	0
"NDPK8"	"dadp_c + atp_c <==> adp_c + datp_c"	-1000	1000	0
"DHORTS"	"dhor__S_c + h2o_c <==> h_c + cbasp_c"	-1000	1000	0
"OMPDC"	"h_c + orot5p_c --> ump_c + co2_c"	0	1000	0
"PYNP2r"	"pi_c + uri_c <==> r1p_c + ura_c"	-1000	1000	0
"G5SD"	"h_c + nadph_c + glu5p_c --> pi_c + nadp_c + glu5sa_c"	0	1000	0
"CS"	"accoa_c + h2o_c + oaa_c --> h_c + cit_c + coa_c"	0	1000	0
"ICDHyr"	"nadp_c + icit_c <==> akg_c + nadph_c + co2_c"	-1000	1000	0
"ALATA_L2"	"pydx5p_c + ala__L_c --> pyam5p_c + pyr_c"	0	1000	0
"DURIPP"	"duri_c + pi_c <==> 2dr1p_c + ura_c"	-1000	1000	0
"ACALD"	"nad_c + coa_c + acald_c <==> h_c + accoa_c + nadh_c"	-1000	1000	0
"PTRCTA"	"akg_c + ptrc_c --> 4abutn_c + glu__L_c"	0	1000	0
"ACS"	"ac_c + atp_c + coa_c --> accoa_c + ppi_c + amp_c"	0	1000	0
"CYSDS"	"cys__L_c + h2o_c --> nh4_c + h2s_c + pyr_c"	0	1000	0
"MAN6PI"	"man6p_c <==> f6p_c"	-1000	1000	0
"PPA"	"ppi_c + h2o_c --> h_c + (2) pi_c"	0	1000	0
"APRAUR"	"h_c + 5apru_c + nadph_c --> nadp_c + 5aprbu_c"	0	1000	0
"TRPAS2"	"trp__L_c + h2o_c <==> nh4_c + indole_c + pyr_c"	-1000	1000	0
"PPCK"	"atp_c + oaa_c --> pep_c + adp_c + co2_c"	0	1000	0
"ME1"	"nad_c + mal__L_c --> pyr_c + nadh_c + co2_c"	0	1000	0
"DB4PS"	"ru5p__D_c --> h_c + db4p_c + for_c"	0	1000	0
"ALAR"	"ala__L_c <==> ala__D_c"	-1000	1000	0
"RBFK"	"atp_c + ribflv_c --> h_c + adp_c + fmn_c"	0	1000	0
"ALATA_L"	"akg_c + ala__L_c <==> glu__L_c + pyr_c"	-1000	1000	0
"XYLK"	"xylu__D_c + atp_c --> h_c + xu5p__D_c + adp_c"	0	1000	0
"RBK"	"rib__D_c + atp_c --> r5p_c + h_c + adp_c"	0	1000	0
"GLYK"	"atp_c + glyc_c --> h_c + glyc3p_c + adp_c"	0	1000	0
"PPM"	"r1p_c <==> r5p_c"	-1000	1000	0
"ASPTA"	"akg_c + asp__L_c <==> glu__L_c + oaa_c"	-1000	1000	0
"ACP1_FMN"	"h2o_c + fmn_c --> pi_c + ribflv_c"	0	1000	0
"RBFSb"	"(2) dmlz_c --> 4r5au_c + ribflv_c"	0	1000	0
"NDP3"	"gdp_c + h2o_c --> h_c + pi_c + gmp_c"	0	1000	0
"CDPPH"	"h2o_c + cdp_c --> h_c + pi_c + cmp_c"	0	1000	0
"NDP7"	"h2o_c + udp_c --> h_c + ump_c + pi_c"	0	1000	0
"FBP"	"fdp_c + h2o_c --> pi_c + f6p_c"	0	1000	0
"EX_pi_e"	"pi_e <==> "	-1000	1000	0
"GLGC"	"h_c + atp_c + g1p_c --> adpglc_c + ppi_c"	0	1000	0
"ALATA_D2"	"pydx5p_c + ala__D_c --> pyam5p_c + pyr_c"	0	1000	0
"PYK"	"pep_c + h_c + adp_c --> atp_c + pyr_c"	0	1000	0
"SHCHD2"	"nad_c + dscl_c --> h_c + scl_c + nadh_c"	0	1000	0
"EX_co2_e"	"co2_e <==> "	-1000	1000	0
"A5PISO"	"ru5p__D_c <==> ara5p_c"	-1000	1000	0
"PMDPHT"	"h2o_c + 5aprbu_c --> pi_c + 4r5au_c"	0	1000	0
"CPPPGO"	"(2) h_c + o2_c + cpppg3_c --> (2) h2o_c + pppg9_c + (2) co2_c"	0	1000	0
